Ano,Mês,Dia,Hora,Latitude,Longitude,count
2022,9,2,20,50.1361111111,11.4513888889,1
2022,10,27,6,38.10025,-78.61604,1
2022,8,12,0,50.1161523475,14.4417969914,1
2022,8,13,1,54.4738888889,-1.1836111111,1
2022,6,5,3,27.9688888889,-15.5888888889,1
2022,10,21,1,27.9983986828,-15.554898984,1
2022,1,1,20,54.2794444444,26.7438888889,1
2022,1,3,10,38.3561096288,-90.8735505555,1
2022,8,6,21,52.4475,12.9208333333,1
2022,8,12,20,52.7519444444,12.2725,1
2022,8,8,23,47.71704,37.55742,1
2022,11,2,22,52.4475,12.9208333333,1
2022,11,10,21,46.28539,14.53321,1
2022,12,13,16,30.30575,35.13343,1
2022,1,11,15,-37.7784,145.4231,1
2022,8,12,23,54.4738888889,-1.1836111111,1
2022,1,3,10,32.7475,-116.6677777778,1
2022,3,26,21,49.536901344,11.4441583713,1
2022,7,24,21,54.2794444444,26.7438888889,1
2022,8,24,20,50.5246013326,10.4137914702,1
2022,9,8,3,46.2713888889,-1.2116666667,1
2022,9,20,21,28.3019892015,-16.5097773066,1
2022,12,14,1,52.2897578145,5.6123875482,1
2022,2,28,19,52.4475,12.9208333333,1
2022,3,20,18,54.2794444444,26.7438888889,1
2022,8,12,22,48.2371456,-1.8479823,1
2022,10,23,1,48.5452777778,11.7197222222,1
2022,11,1,21,50.1361111111,11.4644444444,1
2022,8,8,0,44.0588888889,5.5519444444,1
2022,1,4,2,46.4203239792,15.3729065745,1
2022,1,4,4,28.6483655155,-17.760751211,1
2022,2,25,17,54.2794444444,26.7438888889,1
2022,3,12,2,52.4565337898,12.9708741108,1
2022,5,28,11,-18.2141890265,142.2522046022,1
2022,5,30,22,52.2086111111,14.1222222222,1
2022,5,31,4,30.2767,-103.595963,1
2022,7,16,21,52.4475,12.9208333333,1
2022,7,31,20,35.1055379138,24.5613859583,1
2022,8,3,22,54.4738888889,-1.1836111111,1
2022,12,18,0,51.2833333333,12.3666666667,1
2022,4,20,22,54.25,12.85,1
2022,5,10,9,30.2766,-103.569,1
2022,5,28,21,54.2794444444,26.7438888889,1
2022,7,28,21,35.1055379138,24.5613859583,1
2022,8,23,20,52.4565337898,12.9708741108,1
2022,12,15,1,54.4738888889,-1.1836111111,1
2022,1,3,18,52.1888888889,13.3316666667,1
2022,5,24,21,52.4475,12.9208333333,1
2022,6,26,21,49.7822343112,17.0375373489,1
2022,8,3,20,54.2794444444,26.7438888889,1
2022,8,10,23,52.2994228987,5.6064925557,1
2022,11,22,0,28.3019892015,-16.5097773066,1
2022,12,14,17,53.0639757,8.6684234383,1
2022,8,6,21,50.5447100489,14.9359926971,1
2022,8,3,21,48.5083333333,16.5530555556,1
2022,4,22,5,38.10025,-78.61604,1
2022,8,10,0,53.5,10.4833333333,1
2022,8,11,23,54.25,12.85,1
2022,10,1,21,42.5005555556,3.1158333333,1
2022,11,2,2,45.96979,14.13502,1
2022,12,15,21,52.4565337898,12.9708741108,1
2022,1,6,21,52.4565337898,12.9708741108,1
2022,5,9,18,-15.41144,135.9376,1
2022,8,6,23,47.71704,37.55742,1
2022,9,5,7,30.2767,-103.595963,1
2022,8,25,20,48.233066986,31.4157460678,1
2022,9,21,19,43.8541666667,-1.3869444444,1
2022,3,18,18,54.2794444444,26.7438888889,1
2022,5,30,23,49.8832078627,4.217555031,1
2022,7,20,20,54.2794444444,26.7438888889,1
2022,9,28,8,30.2767,-103.595963,1
2022,11,24,19,28.3019892015,-16.5097773066,1
2022,8,21,20,52.4475,12.9208333333,1
2022,9,9,1,52.4565337898,12.9708741108,1
2022,8,2,23,47.71704,37.55742,1
2022,8,6,9,32.862445,-116.860013,1
2022,8,12,7,-22.4105555556,-45.5352777778,1
2022,8,13,22,54.4738888889,-1.1836111111,1
2022,8,14,20,52.4565337898,12.9708741108,1
2022,9,6,7,30.2767,-103.595963,1
2022,8,13,21,50.2695,3.9305,1
2022,9,30,23,52.4565337898,12.9708741108,1
2022,11,14,19,52.4565337898,12.9708741108,1
2022,3,21,19,51.12,13.61,1
2022,5,5,7,38.10025,-78.61604,1
2022,7,30,1,42.4246666667,-8.85675,1
2022,10,28,6,30.2767,-103.595963,1
2022,3,22,18,54.2794444444,26.7438888889,1
2022,4,10,7,38.10025,-78.61604,1
2022,8,12,23,42.728651082,1.6890356268,1
2022,8,12,21,50.7177777778,3.6438888889,1
2022,8,23,19,54.2794444444,26.7438888889,1
2022,9,20,19,54.9822222222,12.3830555556,1
2022,11,5,21,45.72604,14.00616,1
2022,4,23,22,54.4738888889,-1.1836111111,1
2022,11,21,0,28.3019892015,-16.5097773066,1
2022,3,10,1,52.4475,12.9208333333,1
2022,4,23,7,42.3868929823,-121.8115421618,1
2022,8,24,23,52.2994228987,5.6064925557,1
2022,7,27,21,48.4855555556,15.1486111111,1
2022,4,26,21,53.0325,20.7166666667,1
2022,5,4,18,-16.0698424196,136.3086382064,1
2022,5,14,23,52.4565337898,12.9708741108,1
2022,5,30,4,33.24245,-114.17815,1
2022,10,6,1,50.7291356749,3.6146822924,1
2022,10,23,5,45.3833333333,-76.4833333333,1
2022,8,9,23,52.4475,12.9208333333,1
2022,11,4,0,54.4738888889,-1.1836111111,1
2022,5,29,0,28.3019444444,-16.5097222222,1
2022,5,31,3,33.24246,-114.17815,1
2022,5,31,20,34.8440565806,33.5780788349,1
2022,7,1,22,52.4565337898,12.9708741108,1
2022,9,27,8,30.2767,-103.595963,1
2022,11,17,5,-27.6575,-48.5436111111,1
2022,3,5,17,54.2794444444,26.7438888889,1
